week,alpha,EXCELLENT,GOOD,NORMAL,DISAPPOINTED,Excellent_lead_1wk,Good_lead_1wk,Normal_lead_1wk,Disappoint_lead_1wk,Excellent_lead_2wk,Good_lead_2wk,Normal_lead_2wk,Disappoint_lead_2wk,Alpha_class
134,-2.67,0,1,0,0,0,0,0,0,0,1,0,0,2
135,3.6499999999999995,1,0,0,0,0,1,0,0,0,0,0,0,5
136,8.96,0,0,0,0,1,0,0,0,0,1,0,0,6
137,-0.31,0,0,0,0,0,0,0,0,1,0,0,0,3
138,-10.790000000000001,1,0,0,0,0,0,0,0,0,0,0,0,1
139,8.62,1,0,0,0,1,0,0,0,0,0,0,0,6
140,-15.57,0,0,0,0,1,0,0,0,1,0,0,0,1
141,-4.51,0,1,0,0,0,0,0,0,1,0,0,0,2
142,4.98,0,0,0,0,0,1,0,0,0,0,0,0,5
143,1.9299999999999997,0,0,0,0,0,0,0,0,0,1,0,0,4
144,2.65,2,0,0,0,0,0,0,0,0,0,0,0,5
145,4.07,1,0,0,0,2,0,0,0,0,0,0,0,5
146,-15.99,0,0,0,0,1,0,0,0,2,0,0,0,1
147,-2.95,0,0,0,0,0,0,0,0,1,0,0,0,2
148,7.2,1,0,0,0,0,0,0,0,0,0,0,0,6
149,3.7800000000000002,0,1,0,0,1,0,0,0,0,0,0,0,5
150,-5.4399999999999995,1,0,0,0,0,1,0,0,1,0,0,0,1
151,12.4,0,0,0,0,1,0,0,0,0,1,0,0,6
152,1.3800000000000001,0,0,1,0,0,0,0,0,1,0,0,0,4
153,3.3900000000000006,0,0,0,1,0,0,1,0,0,0,0,0,5
154,-6.209999999999999,1,0,0,0,0,0,0,1,0,0,1,0,1
155,-0.25,0,0,0,0,1,0,0,0,0,0,0,1,3
156,-2.8899999999999997,0,0,0,0,0,0,0,0,1,0,0,0,2
157,-1.98,0,0,0,0,0,0,0,0,0,0,0,0,3
158,4.92,0,0,0,0,0,0,0,0,0,0,0,0,5
159,-3.9599999999999995,1,1,0,0,0,0,0,0,0,0,0,0,2
160,-6.1,0,0,0,0,1,1,0,0,0,0,0,0,1
161,-10.17,0,0,0,0,0,0,0,0,1,1,0,0,1
162,-4.63,0,0,0,0,0,0,0,0,0,0,0,0,2
163,5.369999999999999,2,1,0,0,0,0,0,0,0,0,0,0,6
164,-1.4500000000000006,0,1,0,0,2,1,0,0,0,0,0,0,3
165,4.17,0,0,0,0,0,1,0,0,2,1,0,0,5
166,4.48,0,1,1,0,0,0,0,0,0,1,0,0,5
167,-4.81,0,1,1,0,0,1,1,0,0,0,0,0,2
168,2.3200000000000003,0,0,0,0,0,1,1,0,0,1,1,0,4
169,-2.71,1,0,0,0,0,0,0,0,0,1,1,0,2
170,4.140000000000001,0,0,0,0,1,0,0,0,0,0,0,0,5
171,-0.52,0,0,0,0,0,0,0,0,1,0,0,0,3
172,5.41,0,0,0,0,0,0,0,0,0,0,0,0,6
173,-14.780000000000001,0,1,1,0,0,0,0,0,0,0,0,0,1
174,-3.4199999999999995,0,1,0,0,0,1,1,0,0,0,0,0,2
175,1.19,0,0,0,0,0,1,0,0,0,1,1,0,4
176,-3.27,0,1,0,0,0,0,0,0,0,1,0,0,2
177,4.180000000000001,0,0,1,0,0,1,0,0,0,0,0,0,5
178,7.16,0,0,0,0,0,0,1,0,0,1,0,0,6
179,-3.63,0,0,0,0,0,0,0,0,0,0,1,0,2
180,-5.130000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1
181,2.74,0,1,1,0,0,0,0,0,0,0,0,0,5
182,-4.699999999999999,1,0,0,0,0,1,1,0,0,0,0,0,2
183,5.109999999999999,0,0,1,0,1,0,0,0,0,1,1,0,6
184,-1.6,1,0,0,1,0,0,1,0,1,0,0,0,3
185,0.050000000000000044,0,0,0,0,1,0,0,1,0,0,1,0,4
186,-16.150000000000002,1,1,0,0,0,0,0,0,1,0,0,1,1
187,4.47,0,0,0,0,1,1,0,0,0,0,0,0,5
188,4.66,1,0,0,0,0,0,0,0,1,1,0,0,5
189,-0.76,0,2,0,0,1,0,0,0,0,0,0,0,3
190,-0.75,0,1,0,1,0,2,0,0,1,0,0,0,3
191,2.25,2,0,0,0,0,1,0,1,0,2,0,0,4
192,-0.51,0,1,0,0,2,0,0,0,0,1,0,1,3
193,1.5899999999999999,0,1,1,0,0,1,0,0,2,0,0,0,4
194,0.19999999999999973,0,2,0,0,0,1,1,0,0,1,0,0,4
195,-4.49,0,2,0,0,0,2,0,0,0,1,1,0,2
196,2.35,1,1,0,0,0,2,0,0,0,2,0,0,4
197,6.180000000000001,2,1,2,0,1,1,0,0,0,2,0,0,6
198,-2.0999999999999996,0,0,0,0,2,1,2,0,1,1,0,0,3
199,19.520000000000003,1,2,0,1,0,0,0,0,2,1,2,0,6
200,0.27,2,0,0,0,1,2,0,1,0,0,0,0,4
201,-0.6200000000000001,0,1,1,0,2,0,0,0,1,2,0,1,3
202,-8.22,1,0,0,0,0,1,1,0,2,0,0,0,1
203,-0.83,1,1,0,1,1,0,0,0,0,1,1,0,3
204,0.5700000000000001,0,0,0,0,1,1,0,1,1,0,0,0,4
